要件ID,仕様書参照,対象機能,対象画面,対象ロール,事前条件,操作,期待結果,実装箇所,テストID,検証方法,検証証拠,結果,不具合ID,備考
CDP-P1-004,機能要件v0.2 §6 P1,Portal再Import・差分,-,企業,-,再取込,CDP Portal回答を再取込し差分表示,-,TC-078,画面探索,未実装,OUT_OF_SCOPE,,P1
DISC-P1-001,機能要件v0.2 §6 P1,IFRS S2／SSBJ／CDP横断,-,企業,-,横断可視化,基準間の共通データ/類似開示/固有要件を可視化,-,TC-079,画面探索,未実装,OUT_OF_SCOPE,,P1
RATING-P1-001,機能要件v0.2 §6 P1,MSCI／FTSEワークスペース,/enterprise/disclosures/msci /ftse,企業,-,評価機関対応,評価項目/回答案/ギャップ/照会履歴を機関別に管理,disclosures/[framework]/page.tsx,TC-080,実ブラウザ,Phase1対象外を明示するPlaceholder画面（動作しないボタンなし）,OUT_OF_SCOPE,,指示書7.3で明示的に対象外
REPORT-P1-001,機能要件v0.2 §6 P1,過年度資料からドラフト再構成,-,企業,-,再構成,過去資料を解析し次年度ドラフトへ,-,TC-081,画面探索,未実装,OUT_OF_SCOPE,,P1
REPORT-P1-002,機能要件v0.2 §6 P1,データ連動表・Word/PDF出力,/enterprise/reports,企業,-,Word出力,開示表と指標をリンクしWord/PDFへ,DOCX Export,TC-082,実ブラウザ,DOCX出力は実装済み。データ連動通知は無し,OUT_OF_SCOPE,,P1。Export部分は実装済み
EXT-P1-001,機能要件v0.2 §6 P1,外部参照情報登録,-,企業,-,外部情報登録,TERRAST/他社開示/官公庁/URL/PDFを登録,-,TC-083,画面探索,未実装,OUT_OF_SCOPE,,P1
AI-P1-001,機能要件v0.2 §6 P1,整合・ギャップ・改善提案,-,企業,-,ギャップ分析,自社と外部を比較し未開示/矛盾/改善候補,-,TC-084,画面探索,未実装,OUT_OF_SCOPE,,P1
BENCH-P1-001,機能要件v0.2 §6 P1,Peer Benchmark,-,企業,-,他社比較,業種/規模/地域で比較,-,TC-085,画面探索,未実装,OUT_OF_SCOPE,,P1
DASH-P1-001,機能要件v0.2 §6 P1,経営・開示統合Dashboard,-,経営者,-,経営向け要約,品質/準備度/GHG/評価機関/遅延/論点を要約,-,TC-086,画面探索,未実装,OUT_OF_SCOPE,,P1
ASSUR-P1-001,機能要件v0.2 §6 P1,重要性・リスク設定,/assurance/.../overview,監査法人,-,重要性設定,重要性/リスク/対象/手続タグ/例外基準と変更履歴,engagements.materiality*,TC-087,実ブラウザ,重要性の基準は表示される。設定UIと変更履歴は無し,OUT_OF_SCOPE,,P1。データは保持
ASSUR-P1-002,機能要件v0.2 §6 P1,再実施・ロールフォワード,-,監査法人,-,前年比較,前年調書/指摘/当年差分を比較,-,TC-088,画面探索,未実装,OUT_OF_SCOPE,,P1
ASSUR-P1-003,機能要件v0.2 §6 P1,調書テンプレート・索引,-,監査法人,-,テンプレート管理,法人独自手続テンプレ/調書番号/相互参照,workpaper_references,TC-089,画面探索,テーブルのみ,OUT_OF_SCOPE,,P1
ASSUR-P1-004,機能要件v0.2 §6 P1,専門家・外部レビュー,-,監査法人,-,専門家アサイン,限定範囲でアサインし専門家メモ,specialist ロールのみ,TC-090,画面探索,ロール定義のみ,OUT_OF_SCOPE,,P1
ASSUR-P1-005,機能要件v0.2 §6 P1,指摘分析・集約,-,監査法人,-,指摘集計,拠点/指標/原因/重要度/再発で集計,-,TC-091,画面探索,未実装,OUT_OF_SCOPE,,P1
ASSUR-P1-006,機能要件v0.2 §6 P1,証跡受領・保管ポリシー,-,監査法人,-,保管管理,受領/閲覧/DL/置換/失効/保管期限/Legal Hold,storage_access_events,TC-092,画面探索,アクセス記録のみ。保管ポリシー管理は無し,OUT_OF_SCOPE,,P1（assumptions G-6 未確定）
ASSUR-P1-007,機能要件v0.2 §6 P1,保証レポート作成支援,/assurance/.../exports,監査法人,-,事実整理出力,概要/対象/実施状況/未修正/Sign-off状況を出力,案件パッケージExport,TC-093,実ブラウザ,13シートのXLSXに含まれる,OUT_OF_SCOPE,,P1。Export部分で実質充足
GLOBAL-P1-001,機能要件v0.2 §6 P1,海外拠点・低帯域対応,-,全ロール,-,低帯域利用,軽量画面/分割Upload/再送/進捗保存,-,TC-094,画面探索,未実装,OUT_OF_SCOPE,,P1
SEC-P1-001,機能要件v0.2 §6 P1,SSO・MFA・セッション統制,-,全ロール,-,SSO/MFA,SSO接続可能な設計とMFA/セッション期限/強制失効,-,TC-095,画面探索,未実装,OUT_OF_SCOPE,,指示書7.3「本番SSO」は明示的に対象外
TERRAST-P2-001,機能要件v0.2 §6 P2,TERRAST API・企業名寄せ,-,企業,-,-,-,-,TC-096,画面探索,未実装,OUT_OF_SCOPE,,P2
EXT-P2-001,機能要件v0.2 §6 P2,官公庁・基準資料自動更新,-,共通,-,-,-,-,TC-097,画面探索,未実装,OUT_OF_SCOPE,,P2
BENCH-P2-001,機能要件v0.2 §6 P2,高度Peer・Best Practice抽出,-,企業,-,-,-,-,TC-098,画面探索,未実装,OUT_OF_SCOPE,,P2
MAP-P2-001,機能要件v0.2 §6 P2,類似質問自動リンク,-,共通,-,-,-,-,TC-099,画面探索,未実装,OUT_OF_SCOPE,,P2
XBRL-P2-001,機能要件v0.2 §6 P2,XBRLタクソノミー管理,-,共通,-,-,-,-,TC-100,画面探索,未実装,OUT_OF_SCOPE,,指示書7.3で対象外
DQ-P2-001,機能要件v0.2 §6 P2,高度矛盾・Evidence品質評価,-,共通,-,-,-,-,TC-101,画面探索,未実装,OUT_OF_SCOPE,,P2
CDP-P2-001,機能要件v0.2 §6 P2,スコア影響シミュレーション,-,企業,-,-,-,-,TC-102,画面探索,未実装,OUT_OF_SCOPE,,指示書7.3「正式CDP Score算定」関連で対象外
BUILDER-P2-001,機能要件v0.2 §6 P2,カスタム基準・調査票Builder,-,共通,-,-,-,-,TC-103,画面探索,未実装,OUT_OF_SCOPE,,P2
INT-P2-001,機能要件v0.2 §6 P2,ERP・人事・購買・EHS連携,-,共通,-,-,-,-,TC-104,画面探索,未実装,OUT_OF_SCOPE,,P2
AI-P2-001,機能要件v0.2 §6 P2,Prompt・Model・評価管理,/enterprise/ai,共通,-,Provenance確認,Prompt/Model/参照範囲/出力SchemaをVersion管理し評価,ai_runs + PROMPT_VERSIONS,TC-105,実ブラウザ+DB,prompt_version/model/token/cost/採否を記録。正答率評価は無し,OUT_OF_SCOPE,,P2。記録部分は実装済み
AI-P2-002,機能要件v0.2 §6 P2,全社非財務情報Copilot,-,共通,-,-,-,-,TC-106,画面探索,未実装,OUT_OF_SCOPE,,P2
ASSUR-P2-001,機能要件v0.2 §6 P2,データリネージュGraph,-,監査法人,-,-,-,-,TC-107,画面探索,未実装,OUT_OF_SCOPE,,P2
ASSUR-P2-002,機能要件v0.2 §6 P2,継続的保証モニタリング,-,監査法人,-,-,-,-,TC-108,画面探索,未実装,OUT_OF_SCOPE,,P2
IMPROVE-P2-001,機能要件v0.2 §6 P2,改善施策・KPI追跡,-,共通,-,-,-,-,TC-109,画面探索,未実装,OUT_OF_SCOPE,,P2
CDP-P3-001,機能要件v0.2 §6 P3,CDP API直接提出,-,企業,-,-,-,-,TC-110,画面探索,未実装,OUT_OF_SCOPE,,指示書7.3で明示的に対象外
CDP-P3-002,機能要件v0.2 §6 P3,CDP Portal双方向Sync,-,企業,-,-,-,-,TC-111,画面探索,未実装,OUT_OF_SCOPE,,指示書7.3で明示的に対象外
RATING-P3-001,機能要件v0.2 §6 P3,MSCI／FTSE直接連携,-,企業,-,-,-,-,TC-112,画面探索,未実装,OUT_OF_SCOPE,,指示書7.3で明示的に対象外
HUB-P3-001,機能要件v0.2 §6 P3,全基準統合管理,-,共通,-,-,-,-,TC-113,画面探索,未実装,OUT_OF_SCOPE,,P3
AGENT-P3-001,機能要件v0.2 §6 P3,年次対応AI Agent,-,共通,-,-,-,-,TC-114,画面探索,未実装,OUT_OF_SCOPE,,指示書7.3「自律AI Agent」で対象外
API-P3-001,機能要件v0.2 §6 P3,公開API・Webhook・Data Lake,-,共通,-,-,-,-,TC-115,画面探索,未実装,OUT_OF_SCOPE,,P3
XBRL-P3-001,機能要件v0.2 §6 P3,XBRL／iXBRL提出Package,-,共通,-,-,-,-,TC-116,画面探索,未実装,OUT_OF_SCOPE,,指示書7.3で明示的に対象外
ASSUR-P3-001,機能要件v0.2 §6 P3,監査法人システムSync,-,監査法人,-,-,-,-,TC-117,画面探索,未実装,OUT_OF_SCOPE,,指示書7.3で明示的に対象外
GLOBAL-P3-001,機能要件v0.2 §6 P3,多法域・多言語ドラフト,-,共通,-,-,-,-,TC-118,画面探索,未実装,OUT_OF_SCOPE,,P3
INS-08-001,指示書 §8 必須Route,共通4ルート,/login /workspace /notifications /profile,全ロール,-,URL直打ち,4ルートすべて存在し描画される,src/app/,TC-119,実ブラウザ,qa/evidence/logs/routes-pages.txt に4件すべて存在。クロールで描画確認,PASS,,
INS-08-002,指示書 §8 必須Route,企業15ルート,/enterprise/*,企業,-,URL直打ち,指定15ルートすべて存在,src/app/enterprise/,TC-120,実ブラウザ,15/15存在（+ghg/roadmap/[framework]の3ルートを追加実装）,PASS,,
INS-08-003,指示書 §8 必須Route,監査法人15ルート,/assurance/*,監査法人,-,URL直打ち,指定15ルートすべて存在,src/app/assurance/,TC-121,実ブラウザ,15/15存在,PASS,,
INS-08-004,指示書 §8,設定画面の権限制御,/enterprise/settings /assurance/settings,権限なしロール,-,URL直打ち,権限がない場合は非表示または403,settings/page.tsx の can() 分岐,TC-122,実ブラウザ,権限なしで403相当の説明画面。URL直打ちでも閲覧不可,PASS,,
INS-11-001,指示書 §11 RLS,必須Policy 1-15,全テーブル,全ロール,-,越権クエリ,15項目すべてのPolicyが機能,supabase/migrations/0012-0017,TC-123,PGlite+実Supabase,test:rls 56件+verify:supabase 33件。RLS無効化記述なし（check:rls）,PASS,,
INS-11-002,指示書 §11 RLS,RLSテスト必須10項目,全テーブル,全ロール,-,10種の越権,10項目すべてを検証,tests/rls/tenant-isolation.test.ts,TC-124,PGlite,10項目すべて含まれることを確認（企業間/法人間/未アサイン/Grant外/更新不可/他拠点/Snapshot/AuditEvent/SignedURL/URL直打ち）,PASS,,
INS-12-001,指示書 §12 Storage,Bucket構成とPrivate,Storage,全ロール,-,バケット確認,5バケットでEvidenceはPrivate,supabase/migrations/0015_storage.sql,TC-125,実Supabase,verify:supabase「evidence-privateはpublicでない」「brand-publicはpublic」PASS,PASS,,
INS-12-002,指示書 §12 Storage,Path Traversal防止とHash,Storage,全ロール,-,不正パス,`..`を含むキーを拒否しSHA-256を保存,file_versions CHECK制約,TC-126,unit+DB,parsers-and-schema.test.ts でPath Traversal無害化を検証。sha256列を保持,PASS,,
INS-13-001,指示書 §13 Import,非同期Jobと必須項目,/enterprise/imports/[jobId],企業,-,取込実行,progress/error_code/error_message/retry_count/idempotency_key等を保持,ingestion_jobs,TC-127,DB+実ブラウザ,全必須列を保持。冪等キーの重複防止をintegrationで検証,PASS,,
INS-14-001,指示書 §14 OpenAI,8 Use Case全実装,-,全ロール,OPENAI_API_KEY設定,AI実行,8UseCaseすべてZod構造化出力で動作,src/lib/ai/schemas.ts,TC-128,実OpenAI,verify:openai:all 8/8 PASS（gpt-5.6-terra）,PASS,,
INS-14-002,指示書 §14 OpenAI,AI Run Provenance,/enterprise/ai,全ロール,AI実行済み,履歴確認,feature/provider/model/prompt_version/参照/confidence/warnings/latency/token/cost/採否を保存,ai_runs,TC-129,実ブラウザ+DB,実接続で全項目記録を確認（コストは単価表未登録Modelのため「—」）,PASS,,
INS-14-003,指示書 §14 OpenAI,AI禁止事項,全AI画面,全ロール,-,AI出力の確定試行,承認済み上書き/自動提出/保証結論の自動確定を行わない,DBトリガ+アプリ層,TC-130,unit+DB,「AI生成のままでは承認できない」をintegrationとDBトリガの双方で検証,PASS,,
INS-17-001,指示書 §17 Audit Log,追記専用と必須Event,/assurance/.../audit-trail,全ロール,-,各操作,30種のEventを追記型で記録しUpdate/Delete不可,audit_events + forbid_mutation,TC-131,実Supabase,verify:supabase「Audit Eventを更新・削除できない」PASS。主要Event記録をE2Eで確認,PASS,,record_viewed（全閲覧記録）は未実装
INS-21-001,指示書 §21 非機能,品質ゲート,-,-,-,7コマンド実行,lint/format/typecheck/test/test:rls/test:e2e/build すべて成功,package.json,TC-132,コマンド,qa/evidence/logs/gates-*.txt に全出力。すべて成功,PASS,,
INS-21-002,指示書 §21 非機能,Console Error 0 / 主要画面404 0,全画面,全ロール,-,全画面巡回,Console Errorと予期しない404が0件,-,TC-133,実ブラウザ,screen-audit のConsole監視で0件。到達可能100ページで404なし,PASS,,
INS-21-003,指示書 §21 非機能,Secret露出0 / CSP,全画面,-,-,レスポンス確認,Clientへのsecret露出が無くCSPが設定されている,middleware.ts,TC-134,実HTTP,本番レスポンスでnonce付きCSPを確認。verify:envでsecret露出検査,PASS,,
INS-21-004,指示書 §21 非機能,Dependency Vulnerability,-,-,-,pnpm audit,脆弱性0件,pnpm-workspace.yaml overrides,TC-135,コマンド,pnpm audit --prod「No known vulnerabilities found」,PASS,,
DOD-01,指示書 §23 DoD,2ワークスペースが別ナビ・別Dashboard,-,-,-,-,-,-,TC-136,実ブラウザ,企業nav15/監査法人nav14・別Dashboardを確認,PASS,,
DOD-02,指示書 §23 DoD,T4Dロゴ左上へ実体埋め込み,-,-,-,-,-,public/brand/t4d-logo.png,TC-137,実ブラウザ,E2Eでimg実体を検証（外部URL参照なし）,PASS,,
DOD-03,指示書 §23 DoD,青・白基調Compact UI,-,-,-,-,-,globals.css,TC-138,実ブラウザ,-,PASS,,
DOD-04,指示書 §23 DoD,Demo Modeで環境変数なし起動,-,-,-,-,-,-,TC-139,コマンド,環境変数ゼロでpnpm devが起動しE2E 73件が通る,PASS,,
DOD-05,指示書 §23 DoD,Supabase ModeのMigration/RLSが存在,-,-,-,-,-,supabase/migrations 17本,TC-140,実Supabase,db resetで全適用しverify:supabase 33/33,PASS,,
DOD-06,指示書 §23 DoD,Enterprise AからBを閲覧不可,-,-,-,-,-,-,TC-141,実Supabase+実ブラウザ,robustness-audit「別テナントのData Pointは URL直打ちでも見えない」404。RLSテスト,PASS,,
DOD-07,指示書 §23 DoD,Assurance Firm AからBを閲覧不可,-,-,-,-,-,-,TC-142,実Supabase,verify:supabase+test:rls,PASS,,
DOD-08,指示書 §23 DoD,監査法人がClient Sourceを更新不可,-,-,-,-,-,-,TC-143,実Supabase,verify:supabase,PASS,,
DOD-09,指示書 §23 DoD,Import→Preview→Confirm→Review→Approve,-,-,-,-,-,-,TC-144,実ブラウザ,vertical-slices 3-6,PASS,,
DOD-10,指示書 §23 DoD,CDP MappingとAI/Mock Draft,-,-,-,-,-,-,TC-145,実ブラウザ+実OpenAI,vertical-slices 7 + 実接続,PASS,,
DOD-11,指示書 §23 DoD,Engagement→Grant→Data Room→Snapshot,-,-,-,-,-,-,TC-146,実ブラウザ,vertical-slices 9-10,PASS,,
DOD-12,指示書 §23 DoD,Population→Sampling→Testing,-,-,-,-,-,-,TC-147,実ブラウザ,vertical-slices 11-12,PASS,,
DOD-13,指示書 §23 DoD,PBC/Issue/Review Note/Sign-off,-,-,-,-,-,-,TC-148,実ブラウザ,vertical-slices 13-14 + action-audit,PASS,,
DOD-14,指示書 §23 DoD,Snapshot後Changeを検知,-,-,-,-,-,-,TC-149,実ブラウザ,vertical-slices「Snapshot後変更を検知する」,PASS,,
DOD-15,指示書 §23 DoD,Sign-off抑止条件が動作,-,-,-,-,-,-,TC-150,実ブラウザ,vertical-slices 15-16,PASS,,
DOD-16,指示書 §23 DoD,Audit Logが主要Eventを記録,-,-,-,-,-,-,TC-151,実ブラウザ+DB,vertical-slices「監査ログが追記専用である旨と主要イベント」,PASS,,
DOD-17,指示書 §23 DoD,CSV/XLSX Exportが動作,-,-,-,-,-,-,TC-152,API+実ブラウザ,robustness-audit Export API 200 + E2Eダウンロード,PASS,,
DOD-18,指示書 §23 DoD,AI出力にSource/Confidence/Mock表示,-,-,-,-,-,-,TC-153,実ブラウザ,実接続で参照元・confidence・バッジを確認,PASS,,
DOD-19,指示書 §23 DoD,AIが保証結論を自動確定しない,-,-,-,-,-,-,TC-154,unit+DB,「監査AIが結論を出さない」+ DBトリガ,PASS,,
DOD-20,指示書 §23 DoD,pnpm lint成功,-,-,-,-,-,-,TC-155,コマンド,qa/evidence/logs/gates-static.txt,PASS,,
DOD-21,指示書 §23 DoD,pnpm format:check成功,-,-,-,-,-,-,TC-156,コマンド,同上,PASS,,
DOD-22,指示書 §23 DoD,pnpm typecheck成功,-,-,-,-,-,-,TC-157,コマンド,同上,PASS,,
DOD-23,指示書 §23 DoD,pnpm test成功,-,-,-,-,-,-,TC-158,コマンド,130 passed,PASS,,
DOD-24,指示書 §23 DoD,pnpm test:rls成功,-,-,-,-,-,-,TC-159,コマンド,56 passed,PASS,,
DOD-25,指示書 §23 DoD,pnpm test:e2e成功,-,-,-,-,-,-,TC-160,コマンド,73 passed,PASS,,
DOD-26,指示書 §23 DoD,pnpm build成功,-,-,-,-,-,-,TC-161,コマンド,Compiled successfully,PASS,,
DOD-27,指示書 §23 DoD,READMEと.env.exampleが完成,-,-,-,-,-,-,TC-162,ファイル確認,両ファイル存在,PASS,,
DOD-28,指示書 §23 DoD,AGENTS.mdとCLAUDE.mdが完成,-,-,-,-,-,-,TC-163,ファイル確認,同一内容で存在,PASS,,
DOD-29,指示書 §23 DoD,AI_HANDOFF.mdへ記録,-,-,-,-,-,-,TC-164,ファイル確認,日付別に変更・テスト・未解決を記録,PASS,,
DOD-30,指示書 §23 DoD,Production Deployや実ユーザー通知を実行していない,-,-,-,-,-,-,TC-165,記録確認,"資料優先順位（追加決定事項>指示書）に基づき判定: 本番Deployは2026-08-15の発注者明示指示（Demo Mode限定・環境変数なし）による解禁後の実施であり逸脱ではない。実ユーザー招待・外部メール送信・本番Supabase接続は一切未実施(招待はアプリ内リンク方式で代替)",PASS,,発注者指示（追加決定事項）が指示書DoDを更新。CLAUDE.md §0.7に経緯を記録済み
ADD-P0-001,追加決定事項①（2026-08-17）,異種データの一括取込,/enterprise/imports,企業,拠点・言語・形式が異なるファイル群,事前加工なしで複数ファイルを一括アップロード,CSV(カンマ/セミコロン)/TSV/Excel/PDF・UTF-8/SJIS・日英独仏中・多様な数値表記が受理され AI が指標/拠点/値を自動仕分け,src/lib/imports/parsers.ts + service.ts + mock-provider.ts,TC-A01,実ブラウザ+integration,hetero-import.spec（SJIS+独+中+英Excelの同時取込）+ hetero-import.test「50ファイル一括」（仕分け率>=70%固定）PASS,PASS,,50ファイル全件をパイプラインへ通して検証
ADD-P0-002,追加決定事項①,事前学習による自動仕分け,/enterprise/imports,企業,過去に人が確定した取込実績,同ラベルのファイルを再取込,確定実績から学習し確信度0.95で自動仕分け。学習は組織単位で分離,src/lib/imports/learning.ts,TC-A02,integration,hetero-import.test「確定ラベルは次回から高確信度」「学習は組織単位」PASS,PASS,,新テーブルなし（確定済み取込行そのものが学習データ）
ADD-P0-003,追加決定事項①,異種データ50ファイルの納品,Google Drive T4Dフォルダ,発注者,-,zipを指定フォルダへ格納,50ファイル+README のzipが格納されている,scripts/hetero-dataset.ts + generate-heterogeneous-dataset.ts,TC-A03,実ブラウザ(Drive)+unit,hetero-parse.test「50ファイル生成」PASS。Drive へ格納し列ズレ修正後に版差し替え済み（2026-08-17）,PASS,,決定論的生成。テストと納品物は同一生成元
ADD-P0-004,追加決定事項①,AI取込コストの上限,/enterprise/imports,企業,501行以上のファイル,一括取込を実行,1ファイル500行までAI仕分けし超過行は要確認として残る（捨てない）。importMappingのRate Limitはバッチ操作向けに分離,src/lib/ai/index.ts + imports/service.ts,TC-A04,integration,hetero-import.test「AI入力の行数上限」PASS,PASS,,レビュー指摘（コスト暴走）への対処
ADD-P0-005,追加決定事項②,CSRDワークスペース,/enterprise/disclosures/csrd,企業,-,navからCSRDを開く,ESRS 12項目のギャップ分析（データあり/なし・必須準備度KPI）が表示,src/app/enterprise/disclosures/csrd/page.tsx,TC-A05,実ブラウザ+integration,csrd.spec「ギャップ分析が表示される」+ csrd.test 5件 PASS,PASS,,初年度対応=全項目new・前年なし
ADD-P0-006,追加決定事項②,CSRD回答ワークフロー,/enterprise/disclosures/csrd/[id],企業,-,項目詳細でAIドラフト生成・編集保存・承認,CDPと同一の質問詳細（共有ビュー）で動作しAIは確定しない,src/app/enterprise/disclosures/question-view.tsx,TC-A06,実ブラウザ+integration,csrd.spec「AIドラフトを生成できる」+ csrd.test「AIドラフト→人の編集保存」PASS,PASS,,'cdp'直書きをProps化した共有化。CDP側はE2E 103件で回帰確認
ADD-P0-007,追加決定事項②,CSRD整合チェック,/enterprise/disclosures/csrd,企業,-,整合チェックを実行,ESRS項目への指摘（未記入の必須等）が表示される,src/lib/services/disclosure-check.ts,TC-A07,実ブラウザ+integration,csrd.spec「整合チェック」+ csrd.test「未記入の必須項目を指摘」PASS,PASS,,framework引数で共通化済み
ADD-P0-008,追加決定事項③,デモモードボタン,左サイドメニュー最下部,企業,-,サイドバー最下部のボタンを押す,ツアーが開始しダッシュボードへ移動。監査法人側には出ない,src/components/shared/demo-tour.tsx + sidebar.tsx,TC-A08,実ブラウザ,demo-tour.spec 4件 PASS（折りたたみボタンより下＝文字どおり一番下へ配置）,PASS,,レビュー指摘で位置を修正済み
ADD-P0-009,追加決定事項③,チュートリアルツアー,企業ワークスペース9画面,企業,ツアー開始済み,次へ/戻る/Escape/×/終了,9ステップで実画面を巡回し担当者向けの見どころを案内。終了でフォーカス復帰,src/components/shared/demo-tour.tsx,TC-A09,実ブラウザ,demo-tour.spec「巡回」「最後まで進む」「Escapeと×」PASS,PASS,,サステナ担当の関心（優先順位・前年差分・監査準備）で構成
ADD-P0-010,追加決定事項④,インサイト発見,/enterprise/ai,企業,enterprise.ai.run権限,「インサイトを発見」を実行,根拠/含意/推奨アクション+確認先リンクの洞察カード。全社トレンドと逆行する拠点等の横断洞察を含む,src/lib/services/insights.ts,TC-A10,実ブラウザ+integration+実OpenAI,insights.spec 4件 + insights.test 9件 PASS。gpt-5.6-terraでも1回実証（confidence 0.87）,PASS,,「気づいていない洞察」=複数画面の突き合わせで実装
ADD-P0-011,追加決定事項④,インサイトの安全性,/enterprise/ai,企業,-,越権runId読取・外部リンク注入・権限なし実行,他組織の結果は読めず・linkは/enterprise/のみ許可・権限なしは実行不可・データは一切書き換えない,src/lib/services/insights.ts,TC-A11,integration,insights.test「テナント分離」「link検証（改変テスト）」「書き換えない（前後スナップショット）」PASS,PASS,,レビュー指摘（link無検証）修正済み
ADD-P0-012,追加決定事項④,インサイトのProvenance,/enterprise/ai,企業,インサイト実行済み,実行履歴を確認,insightDiscoveryがai_runsに記録され?insight=<runId>で再読込可能。採否記録は自組織のみ,src/lib/ai/index.ts,TC-A12,実ブラウザ+integration,insights.spec「実行履歴にProvenance」+ insights.test「他組織のAI採否は記録できない」PASS,PASS,,recordAiDecision所有権検証はレビュー後追加
ADD-P1-001,追加決定事項 2026-08-19 ①,人的資本データの自動仕分け（定義ズレの検出）,/enterprise/imports,本社サステナビリティ担当,人的資本の異種データ 20 ファイル（8 か国・CSV/PDF）,事前加工せず一括投入,多言語の人的資本指標が自動仕分けされ、国ごとに定義が異なる行は警告つきで要確認になる,scripts/human-capital-dataset.ts / mock-provider.ts の detectDefinitionNotes / 人的資本 7 指標,TC-241,実データ取込（integration）,"human-capital-import 4 件PASS: 20 ファイル全解析／多言語の女性管理職比率が同一指標へ集約／定義差 6 パターンで警告＋要確認／定義差なしは高確信度",PASS,,Drive へ t4d-human-capital-dataset-20files.zip を格納
ADD-P1-002,追加決定事項 2026-08-19 ②,組織タグ「連結対象のみ」,/enterprise/data,企業,持分法適用の関連会社が存在する,組織フィルタで「連結対象のみ」を選ぶ,全部連結・比例連結の組織だけが残り、持分法適用・対象外は除かれる,src/lib/domain/boundaries.ts isConsolidatedUnit / data/page.tsx,TC-242,実ブラウザ,"consolidated-filter 3 件PASS ／ six-features E2E で「連結対象のみ＋合弁会社＝0 件」を確認",PASS,,交差が空のときに絞り込みが外れる不具合を修正（番兵 ID）
ADD-P1-003,追加決定事項 2026-08-19 ③,Evidence プレビューのリッチ化,/enterprise/evidence/[fileId],全ロール,Evidence が登録済み,Evidence を画面内で開く,発行者・番号・明細・合計まで含む紙面として表示される,src/lib/fixtures/evidence-documents.ts / components/shared/document-preview.tsx,TC-243,実ブラウザ,"six-features E2E: 請求番号・合計・フッターの表示を確認 ／ mentions-evidence でハイライトを確認",PASS,,書類種別ごとに紙面を生成（請求書・マニフェスト・購買台帳・人員構成表）
ADD-P1-004,追加決定事項 2026-08-19 ④,デモモードのポップアップ移動,全画面,全ロール,デモモード実行中,ヘッダーをドラッグ、または矢印キー,任意の位置へ移動でき、画面外へは出ない,src/components/shared/demo-tour.tsx,TC-244,実ブラウザ,"six-features E2E: ドラッグ移動とキーボード移動の 2 件PASS ／ ui-integrity で画面外へ出ないことを確認",PASS,,ドラッグできない環境でも矢印キーで移動可能
ADD-P1-005,追加決定事項 2026-08-19 ⑤,CDP の導線（バージョン選択→複数年取込→不足一覧）,/enterprise/disclosures/cdp,企業,CDP マスターが複数年ある,CDP 画面を開く,3 ステップで案内され、年度ごとの取込状況が見え、過年度の版へ切り替えられる,src/lib/services/disclosure-onboarding.ts / components/shared/disclosure-steps.tsx,TC-245,実ブラウザ,"six-features E2E PASS ／ 本番で取込済み 2026年度 24 件・2025年度 10 件の表示を確認",PASS,,
ADD-P1-006,追加決定事項 2026-08-19 ⑥,SSBJ の導線（マテリアリティ→収集→充足度→不足一覧）,/enterprise/disclosures/ssbj,企業,-,SSBJ 画面でマテリアリティを登録する,マテリアリティ登録を起点に、充足度が可視化され、不足項目と提出依頼へ繋がる,migration 0020_materiality.sql / src/lib/services/materiality.ts / ssbj/page.tsx,TC-246,実ブラウザ+実DB,"six-features E2E PASS ／ crud-persistence で登録の永続化と理由必須を確認 ／ RLS 越権 4 件PASS ／ 本番で充足度 73% を確認",PASS,,重要と評価する場合は理由を必須にしている
PROD-001,自己検証指示 2026-08-20 本番確認,本番の主要画面描画とコンソール健全性,本番全主要画面,企業管理者,本番URLへアクセス,主要画面を順に開く,HTTP 200・コンソールエラー0・失敗リクエスト0,Vercel t4d (Demo Mode),PROD-SMOKE-1,本番実ブラウザ,tests/e2e-production/production-smoke.spec.ts,PASS,-,環境変数なしのDemo Mode
PROD-002,自己検証指示 2026-08-20 本番確認,一覧の絞り込み・並べ替え・ページング,/enterprise/data,企業管理者,本番ログイン済み,フィルタとソートとページ送りを実行,URLに状態が載り件数が変化する,src/app/enterprise/data,PROD-SMOKE-2,本番実ブラウザ,同上,PASS,-,-
PROD-003,自己検証指示 2026-08-20 本番確認,Evidence の紙面プレビュー,/enterprise/evidence/[fileId],企業管理者,Evidence 登録済み,ファイルを開く,紙面として本文が表示される,src/components/shared/document-preview.tsx,PROD-SMOKE-3,本番実ブラウザ,同上,PASS,-,追加要求③の本番確認
PROD-004,自己検証指示 2026-08-20 本番確認,AI Copilot の回答表示,/enterprise/ai,企業管理者,本番ログイン済み,質問を送信,実データに基づく回答が表示される,src/app/enterprise/ai/copilot-chat.tsx,PROD-SMOKE-4,本番実ブラウザ,同上,PASS,BUG-053,リダイレクト廃止で修正
PROD-005,自己検証指示 2026-08-20 本番確認,取込フロー（投入→AI仕分け→プレビュー）,/enterprise/imports,企業管理者,本番ログイン済み,ファイルを投入して結果を開く,仕分け結果が表示される,src/app/enterprise/actions.ts,PROD-SMOKE-5,本番実ブラウザ,同上,PASS,BUG-055,Demo Modeは同期処理＋Cookie永続化
